Tool,Commercial Status,TIME Status,Primary SysAdmin,Budget Holder(s),Description,URL,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,AMERICAS D&A,AMETA D&A,DIGITAL D&A,EUROPE D&A,ERA,GAC,
Atlassian Jira,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A project management and issue tracking platform used for agile software development and project coordination. Jira enables teams to plan, track, and release software projects using customizable workflows, sprint planning tools, reporting dashboards, and integration with development tools.",https://www.atlassian.com/software/jira,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,
AWS Aurora,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Amazon's managed relational database service that's compatible with MySQL and PostgreSQL. Aurora provides enterprise-grade performance, availability, and security with automatic scaling, backup, and recovery capabilities. It's designed to handle demanding workloads while reducing database administration overhead.",https://aws.amazon.com/rds/aurora/,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,
AWS Neptune,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Amazon's managed graph database service optimized for storing and navigating highly connected data. Neptune supports both property graph and RDF graph models, making it suitable for applications like social networks, fraud detection, recommendation engines, and knowledge graphs.",https://aws.amazon.com/neptune/,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,
Azure DevOps,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Microsoft's DevOps platform that provides version control, build automation, testing tools, and release management capabilities. It enables software development teams to plan work, collaborate on code, build and deploy applications, and monitor performance throughout the application lifecycle.",https://azure.microsoft.com/en-us/products/devops,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,3,0,0,0,3,1,0,0,0,0,0,
Azure SQL Database,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Microsoft's cloud-based relational database service built for modern applications and analytics workloads. Azure SQL Database provides managed database capabilities with built-in intelligence, automatic scaling, and enterprise-grade security features including threat detection and data encryption. It supports both traditional transactional workloads and analytical queries, enabling organizations to build scalable applications while reducing",https://azure.microsoft.com/en-us/products/azure-sql,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,
BASH script,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A command-line shell and scripting language that serves as the default command interpreter for most Linux and Unix-based operating systems, providing an interface for executing system commands and automating administrative tasks. It offers advanced scripting capabilities including variables, control structures, functions, and command substitution, along with interactive features such as command history, tab completion, job control, and command aliasing, enabling users to create complex automation scripts, manage system processes, manipulate files and directories, and orchestrate workflows across Unix-like environments.",https://www.w3schools.com/bash/bash_script.php,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,
Brunner BI Measure Killer,Commercial,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A Power BI optimization tool that identifies and removes unused columns and measures from semantic models while providing comprehensive lineage analysis across reports, dataflows, and downstream models. It offers features for dependency visualization, DAX and M code search capabilities, best practice analysis, and tenant-wide scanning to help organizations clean their Power BI workspaces, improve model performance, and generate documentation for both individual models and entire tenants.",https://www.brunner.bi/measurekiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
C#,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A modern, object-oriented programming language developed by Microsoft as part of the .NET framework. C# is used for building Windows applications, web services, mobile apps, and enterprise software solutions. It offers strong typing, memory management, and extensive libraries for developing scalable applications in corporate environments.",https://docs.microsoft.com/en-us/dotnet/csharp/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,
CDataSoftware DBAmp,Commercial,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A data integration tool designed for Salesforce data replication and synchronization. DBAmp enables organizations to extract, transform, and load Salesforce data into SQL Server databases, providing real-time or scheduled data synchronization for reporting, analytics, and backup purposes.",https://www.cdata.com/dbamp/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Cygwin,Commercial,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A Linux-like environment and command-line interface for Windows that provides a comprehensive collection of GNU and Open Source tools, enabling developers to run native Linux applications on Windows systems. It offers a POSIX-compatible API layer, bash shell functionality, standard Unix utilities, and development tools including compilers and debuggers, allowing users to port Unix software to Windows and execute shell scripts without requiring a virtual machine or dual-boot configuration.",https://www.cygwin.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Databricks Catalog and Data Access,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Unity Catalog - Databricks' governance solution that provides centralized access control, data discovery, and lineage tracking across all data assets. It enables organizations to manage permissions, monitor data usage, and maintain compliance while providing users with self-service access to trusted data sources.",https://docs.databricks.com/data-governance/unity-catalog/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
Databricks Compute & Infrastructure,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","The underlying compute platform that provides scalable, cloud-based processing power for data and AI workloads. It includes autoscaling clusters, serverless computing options, and optimized runtimes for different workload types, enabling organizations to process large datasets and train machine learning models.",https://docs.databricks.com/clusters/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Databricks Dashboards & Analytics,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A business intelligence and visualization platform integrated within Databricks that enables users to create interactive dashboards, reports, and analytics applications. It provides self-service analytics capabilities, allowing business users to explore data and create visualizations.",https://docs.databricks.com/aws/en/dashboards/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Databricks ML & AI applications,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A machine learning platform that provides capabilities for building, training, and deploying AI models. It includes MLflow for experiment tracking, automated machine learning features, model serving infrastructure, and tools for managing the machine learning lifecycle from development to production.",https://docs.databricks.com/machine-learning/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Databricks Notebooks & Development,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Interactive, collaborative computational environments that combine code, visualizations, and narrative text in a single document. Databricks notebooks support multiple programming languages and enable data scientists and engineers to explore data, develop models, and share insights in a version-controlled environment.",https://docs.databricks.com/notebooks/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Databricks Workflows and Orchestration,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Job scheduling and workflow automation capabilities that enable organizations to create, monitor, and manage complex data pipelines and analytics processes. It provides dependency management, error handling, and monitoring features for automating recurring data processing and machine learning tasks at scale.",https://docs.databricks.com/workflows/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Dataiku,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A data science platform that provides capabilities for data preparation, machine learning, and model deployment. Dataiku offers both code-free and code-friendly approaches, enabling collaboration between business analysts and data scientists while providing enterprise-grade governance, scalability, and automation features.",https://www.dataiku.com,0,2,0,0,2,0,0,0,0,0,3,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
DAX Studio,Commercial,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A query execution and performance analysis tool that enables developers to write, test, and optimize DAX queries for Power BI, Analysis Services, and Excel data models. It provides advanced debugging capabilities, server timing profiling, query execution breakdowns, and integrated tracing to identify performance bottlenecks, along with features for exporting data, analyzing model metadata through VertiPaq Analyzer, and connecting to multiple tabular model environments.",https://daxstudio.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Dell Boomi,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based integration platform-as-a-service (iPaaS) that enables organizations to connect applications, data, and processes across cloud and on-premises environments. Boomi provides pre-built connectors, visual development tools, and management capabilities for creating and maintaining enterprise integration solutions.",https://boomi.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Docker,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A containerization platform that enables developers to build, share, and run applications in isolated, portable environments using lightweight containers instead of traditional virtual machines. It provides container orchestration through Docker Compose, integration with CI/CD pipelines, Docker Hub for sharing container images, and Docker Desktop for local development, allowing teams to ensure consistent application behavior across development, testing, and production environments.",https://www.docker.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
EvidentlyAI,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source ML and LLM observability framework that enables teams to evaluate, test, and monitor AI systems throughout their lifecycle, from experimentation to production deployment. It provides comprehensive drift detection, model performance tracking, and data quality monitoring with over 100 built-in metrics, along with customizable reports, test suites, and dashboards for maintaining reliable ML pipelines at scale.",https://www.evidentlyai.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Golang,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source programming language developed by Google, designed to combine simplicity with high performance and scalability for modern computing environments. Go features fast compilation, built-in concurrency support through goroutines and channels, and automatic memory management, making it ideal for cloud services, microservices, web servers, and distributed systems where efficiency and concurrent processing are critical.",https://go.dev/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Google Geocode API,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A web service that converts addresses into geographic coordinates (latitude and longitude) and vice versa. The Geocoding API enables applications to integrate location-based services, mapping functionality, and spatial analysis capabilities, supporting various address formats and providing location information for global addresses.",https://developers.google.com/maps/documentation/geocoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Great Expectations,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source Python library for data validation, documentation, and profiling that helps teams maintain data quality and reliability. It enables data engineers and scientists to create automated data tests, generate documentation, and monitor data pipelines to catch data issues before they impact downstream analytics.",https://greatexpectations.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Hashicorp Terraform,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An infrastructure as code tool by HashiCorp that enables teams to define, provision, and manage cloud and on-premises infrastructure using declarative configuration files across multiple providers. It provides execution planning, resource dependency graphing, state management for tracking infrastructure changes, and reusable modules for standardizing deployments, while supporting version control workflows and policy enforcement to safely automate infrastructure lifecycle management at scale.",https://developer.hashicorp.com/terraform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
JavaScript,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A high-level programming language that runs in web browsers and server environments. JavaScript is essential for creating interactive web applications, dynamic user interfaces, and modern web experiences. It's also used for server-side development (Node.js), mobile app development, and data visualization applications.",https://developer.mozilla.org/en-US/docs/Web/JavaScript,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,
Jupyter Notebooks,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source web application that creates and shares interactive computational documents containing code, visualizations, and explanatory text. Jupyter supports multiple programming languages and has become a standard tool for data science experimentation, prototyping, and educational content in the Python ecosystem.",https://jupyter.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
LangGraph,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A flexible framework for building controllable cognitive architectures that enables developers to create reliable AI agent systems with diverse control flows including single-agent, multi-agent, hierarchical, and sequential patterns. It provides built-in moderation and quality loops to ensure agents stay on track, along with templatized architectures through LangGraph Platform that make tools, prompts, and models easily configurable for production deployments.",https://www.langchain.com/langgraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Lucidchart,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based diagramming and visual collaboration platform used for creating flowcharts, organizational charts, network diagrams, and other visual representations. Lucidchart enables teams to collaborate on diagrams in real-time, integrating with other workplace tools to improve communication and process documentation.",https://www.lucidchart.com,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
Microsoft Excel,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A spreadsheet application used for data organization, analysis, and visualization. Excel provides calculation, graphing tools, pivot tables, and a macro programming language called Visual Basic for Applications (VBA), making it a versatile tool for business analysis, financial modeling, and data management.",https://www.microsoft.com/excel,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Microsoft Power BI Desktop,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A business intelligence tool that enables users to connect to data, visualize it, and create interactive reports. Power BI Desktop allows data analysts to transform raw data into meaningful insights through data modeling, DAX calculations, and rich visualizations that can be published to the Power BI Service.",https://powerbi.microsoft.com/desktop,3,0,3,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Microsoft Power BI Service,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based business analytics service that enables users to publish, share, and collaborate on Power BI reports and dashboards. It provides features for data refresh scheduling, row-level security, sharing with external users, and creating app workspaces for team collaboration.",https://powerbi.microsoft.com/,3,0,3,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Microsoft PowerPages,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A low-code SaaS platform for creating, hosting, and managing secure, enterprise-grade business websites. It enables makers to rapidly build external-facing sites that interact with Dataverse data using pre-built templates and a design studio, while providing pro-developer extensibility through Visual Studio Code, robust security controls, and seamless integration with other Microsoft Power Platform components.",https://powerpages.microsoft.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Microsoft Visual Studio Code,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A source-code editor developed by Microsoft for Windows, Linux, and macOS. It includes support for debugging, embedded Git control, syntax highlighting, intelligent code completion, snippets, and code refactoring. VS Code is highly customizable and supports a wide range of programming languages through extensions.",https://code.visualstudio.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,
Miro,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An online collaborative whiteboard platform that enables distributed teams to work together effectively. Miro provides an infinite canvas for brainstorming, diagramming, project planning, and agile workflows, with features like sticky notes, drawing tools, and integrations with other productivity apps.",https://miro.com,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,
MongoDB,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A source-available cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. It is designed for scalability and developer agility, making it suitable for modern applications that require flexible data models.",https://www.mongodb.com,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Neo4j,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A graph database management system designed to store and process data with complex relationships. Neo4j uses a property graph model to represent data as nodes and relationships, enabling high-performance queries on connected data for applications like fraud detection, recommendation engines, and network analysis.",https://neo4j.com,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,
Notion,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An all-in-one workspace for note-taking, knowledge management, and project collaboration. Notion combines features of wikis, documents, and databases, allowing teams to create and organize content, manage tasks, and build custom workflows in a flexible and customizable environment.",https://www.notion.so,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
OpenAI API,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An interface that allows developers to integrate advanced artificial intelligence models into their applications. The API provides access to models like GPT-4 for natural language processing, DALL-E for image generation, and Whisper for speech recognition, enabling a wide range of AI-powered capabilities.",https://openai.com/api,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,
OpenAI ChatGPT,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A conversational AI model developed by OpenAI that interacts with users in a natural, dialogue format. ChatGPT can answer follow-up questions, admit mistakes, challenge incorrect premises, and reject inappropriate requests, making it a versatile tool for writing assistance, coding help, and general information retrieval.",https://chat.openai.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Oracle Database,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A multi-model database management system produced and marketed by Oracle Corporation. It is commonly used for running online transaction processing (OLTP), data warehousing (DW), and mixed (OLTP & DW) database workloads. Oracle Database offers enterprise-grade reliability, scalability, and security features.",https://www.oracle.com/database/,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,
Palantir Foundry,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An enterprise data platform that integrates data integration, analysis, and operational decision-making. Foundry enables organizations to create a central operating system for their data, allowing users of varying technical abilities to work with data, build models, and deploy applications that drive business outcomes.",https://www.palantir.com/platforms/foundry/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Perl,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A family of high-level, general-purpose, interpreted, dynamic programming languages. Perl was originally developed for text manipulation and is used for a wide range of tasks including system administration, web development, network programming, and GUI development. It's known for its powerful text processing facilities.",https://www.perl.org,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,
Postman,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can create better APIs faster. It provides tools for designing, testing, mocking, and documenting APIs, as well as a repository for storing and sharing API specifications.",https://www.postman.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Power Automate,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based service that creates automated workflows between apps and services to synchronize files, get notifications, and collect data. Power Automate enables users to automate repetitive tasks and business processes without writing code, connecting to hundreds of popular applications and services.",https://powerautomate.microsoft.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
PowerShell,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cross-platform task automation and configuration management framework, consisting of a command-line shell and scripting language. PowerShell is built on the .NET framework and helps system administrators and power users rapidly automate tasks that manage operating systems (Linux, macOS, and Windows) and processes.",https://docs.microsoft.com/en-us/powershell/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
Python,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An interpreted, high-level, general-purpose programming language. Python's design philosophy emphasizes code readability with its use of significant indentation. It supports multiple programming paradigms, including structured, object-oriented, and functional programming, and has a vast ecosystem of libraries for data science, machine learning, and web development.",https://www.python.org,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,3,0,0,0,1,1,1,0,0,0,
Qlik Sense,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A modern data analytics platform that empowers users of all skill levels to explore data and make discoveries. Qlik Sense uses an associative analytics engine that allows users to explore data freely in any direction, recalculating analytics and highlighting data relationships with every click.",https://www.qlik.com/us/products/qlik-sense,3,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
R,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A programming language and free software environment for statistical computing and graphics. R provides a wide variety of statistical (linear and nonlinear modelling, classical statistical tests, time-series analysis, classification, clustering) and graphical techniques, and is highly extensible.",https://www.r-project.org,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Red Hat Ansible,Commercial,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source software provisioning, configuration management, and application-deployment tool enabling infrastructure as code. It uses declarative YAML playbooks to automate IT infrastructure tasks, supporting agentless architecture and ensuring idempotent execution across multi-cloud, virtual, and physical environments, making it ideal for streamlining complex operational workflows and maintaining system consistency.",https://www.ansible.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,
